Area,Unit,Y1961,Y1962,Y1963,Y1964,Y1965,Y1966,Y1967,Y1968,Y1969,Y1970,Y1971,Y1972,Y1973,Y1974,Y1975,Y1976,Y1977,Y1978,Y1979,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013
British Virgin Islands,1000 persons,8.167,8.31,8.476,8.646,8.83,9.025,9.222000000000001,9.421,9.626,9.827,10.017000000000001,10.208,10.392000000000001,10.562000000000001,10.699000000000002,10.821,10.927999999999999,11.045,11.218,11.478,11.825999999999999,12.249,12.752,13.322000000000001,13.956,14.649000000000001,15.407,16.154,16.862000000000002,17.489,18.006,18.438,18.785999999999998,19.074,19.313,19.502,19.665,19.820999999999998,20.026,20.311,20.675,21.129,21.671999999999997,22.334,23.107,24.023000000000003,25.046999999999997,26.096999999999998,27.039,27.794,28.319000000000003,28.65,28.846999999999998
Brunei Darussalam,1000 persons,85.56200000000001,89.48100000000001,93.54,97.81200000000001,102.38600000000001,107.274,112.448,117.898,123.6,129.529,135.671,142.02200000000002,148.512,155.072,161.626,168.18099999999998,174.71400000000003,181.205,187.604,193.87900000000002,200.021,206.065,212.076,218.175,224.449,230.915,237.563,244.40400000000002,251.458,258.721,266.21,273.892,281.681,289.454,297.11400000000003,304.622,311.95799999999997,319.144,326.21,333.165,340.034,346.782,353.293,359.43300000000005,365.11400000000003,370.26300000000003,374.965,379.421,383.906,388.64599999999996,393.68800000000005,398.98900000000003,404.421
Bulgaria,1000 persons,7953.467,8022.158,8090.703,8157.8330000000005,8222.589,8284.446,8343.488000000001,8400.013,8454.586,8507.551,8559.030999999999,8608.664,8655.709,8699.176,8738.392,8772.556999999999,8801.904,8828.026,8853.201,8878.791,8905.094000000001,8930.707,8953.121,8968.917,8975.360999999999,8972.551,8960.556,8936.655,8897.543,8841.458,8766.999,8676.377,8576.038,8474.826,8379.308,8291.97,8211.814,8137.67,8066.9980000000005,7997.956999999999,7930.703,7866.2390000000005,7804.312,7744.632,7686.9619999999995,7631.012,7576.672,7524.0869999999995,7473.513000000001,7425.008000000001,7378.65,7334.003000000001,7290.088000000001
Burkina Faso,1000 persons,4894.58,4960.326,5027.821,5098.89,5174.87,5256.363,5343.019,5434.041,5528.174,5624.6,5723.380999999999,5825.173000000001,5930.483,6040.041,6154.545,6274.036999999999,6398.935,6530.819,6671.656,6822.843000000001,6985.16,7158.255,7340.905,7531.241999999999,7727.906999999999,7930.694,8140.073,8356.305,8579.823,8811.034,9050.084,9297.113000000001,9552.476,9816.588,10089.878,10372.745,10665.546,10968.723999999998,11282.701000000001,11607.942,11944.587,12293.1,12654.621000000001,13030.569,13421.93,13829.176000000001,14252.021,14689.725,15141.098,15605.216999999999,16081.913,16571.253,17072.785
Burundi,1000 persons,2852.438,2907.321,2964.427,3026.29,3094.3790000000004,3170.49,3253.218,3336.927,3413.9040000000005,3479.074,3529.9970000000003,3569.6659999999997,3605.1259999999997,3646.4309999999996,3700.88,3770.8709999999996,3854.445,3949.2659999999996,4051.2340000000004,4157.298,4266.52,4379.724,4497.532999999999,4621.103,4750.837,4886.7429999999995,5027.138,5168.698,5307.069,5438.956999999999,5564.9259999999995,5685.565,5798.053000000001,5898.967,5987.043000000001,6060.111,6122.13,6185.562,6267.124,6378.871,6525.545,6704.113,6909.154,7131.693,7364.861999999999,7607.849,7862.214,8126.102,8397.668,8675.601999999999,8958.405999999999,9245.988000000001,9540.291
Cabo Verde,1000 persons,205.327,210.142,216.09599999999998,222.94799999999998,230.418,238.655,247.52700000000002,256.176,263.453,268.627,271.309,271.843,271.068,270.23,270.247,271.342,273.335,276.17400000000004,279.73,283.847,288.677,294.254,300.23,306.13599999999997,311.678,316.616,321.135,325.746,331.17900000000003,337.95,346.23,355.75699999999995,366.05300000000005,376.407,386.284,395.533,404.259,412.514,420.452,428.18800000000005,435.709,442.95099999999996,449.93,456.61699999999996,463.032,469.17,475.06,480.842,486.671,492.654,498.85699999999997,505.235,511.74800000000005
Cambodia,1000 persons,5872.965999999999,6028.431,6183.584,6331.4490000000005,6467.196999999999,6585.035,6685.96,6779.786999999999,6880.6230000000005,6996.576,7139.647,7302.111,7449.238,7533.335999999999,7524.446999999999,7404.684,7196.0419999999995,6957.265,6770.396,6693.764,6749.847,6919.8009999999995,7169.996999999999,7447.853,7714.88,7960.9490000000005,8198.082,8435.912,8691.334,8975.597,9289.299,9623.889000000001,9970.733,10317.899,10656.138,10982.917,11298.6,11600.508,11886.458,12155.239,12405.408000000001,12637.726999999999,12856.163,13066.469,13273.354,13477.708999999999,13679.962,13883.833999999999,14093.604,14312.212,14541.423,14780.454,15026.332
Cameroon,1000 persons,5285.017,5398.729,5518.104,5643.036,5773.543000000001,5909.882,6052.42,6201.4130000000005,6357.092,6519.762,6689.661999999999,6867.178000000001,7052.849,7247.286999999999,7451.054,7664.406,7887.56,8121.084,8365.567,8621.405999999999,8888.535,9166.815999999999,9456.494,9757.841,10070.806,10395.48,10731.063999999998,11075.421999999999,11425.8,11780.088,12137.912,12499.499,12864.09,13230.983999999999,13599.988000000001,13970.813,14344.448999999999,14723.768,15112.591999999999,15513.945,15928.91,16357.601999999999,16800.865,17259.322,17733.41,18223.674,18730.282,19252.666,19789.918999999998,20341.241,20906.388,21485.265,22077.293999999998
Canada,1000 persons,18233.964,18596.846,18943.229,19284.224,19627.98,19975.694,20324.779,20675.006999999998,21025.265,21374.326,21723.46,22072.194,22415.322,22745.903,23059.265,23354.586,23634.387000000002,23901.717,24161.124,24416.886000000002,24668.167,24916.542,25171.436,25444.884,25744.81,26075.498,26432.892999999996,26806.125,27179.502,27541.319,27888.81,28224.409,28547.967,28860.734,29164.152000000002,29457.817000000003,29742.382,30022.072999999997,30302.515,30588.382999999998,30880.072999999997,31178.263,31488.048,31815.494,32164.308999999997,32536.987,32930.794,33337.638,33746.093,34147.564,34539.159,34922.03,35296.528
Cayman Islands,1000 persons,8.026,8.146,8.227,8.298,8.369,8.441,8.522,8.631,8.827,9.144,9.58,10.133,10.782,11.491,12.244000000000002,13.025,13.853,14.683,15.48,16.212,16.86,17.439,18.011,18.67,19.467,20.43,21.544,22.761,24.039,25.311999999999998,26.544,27.78,29.069000000000003,30.514,32.166,34.065,36.156,38.329,40.42,42.303000000000004,43.935,45.351000000000006,46.632,47.902,49.261,50.74,52.28,53.836000000000006,55.321999999999996,56.672,57.878,58.958,59.931999999999995
